City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Miri,MY,75.2,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
295,Totness,SR,79.88,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
299,Namatanai,PG,79.68,light rain,-3.6667,152.4333,Namatanai Hotel
305,Bubaque,GW,79.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
307,Oriximina,BR,86.05,light rain,-1.7656,-55.8661,Pousada Tia Amélia
316,Kota Belud,MY,77.0,moderate rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
318,Lhokseumawe,ID,75.36,moderate rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
319,Jibuti,DJ,75.2,haze,11.5,42.5,Orchid Main Camp Goubet
320,Harper,LR,79.81,scattered clouds,4.375,-7.7169,Screensaver
322,Makasar,ID,77.0,very heavy rain,-5.14,119.4221,Aryaduta Makassar
323,Samarai,PG,82.78,moderate rain,-10.6167,150.6667,Nuli Sapi
326,Vao,NC,78.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
330,Canavieiras,BR,82.4,broken clouds,-15.675,-38.9472,Bahiadomizil
332,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
343,Carutapera,BR,79.48,overcast clouds,-1.195,-46.02,Lidera
345,San Andres,CO,82.4,light rain,12.5847,-81.7006,Hotel Arena Blanca
347,Seguela,CI,85.39,broken clouds,7.9611,-6.6731,Hotel le Carrefour
350,Palau,PW,78.8,broken clouds,7.502999999999999,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
352,Matara,LK,75.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
355,Bengkulu,ID,76.12,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
356,Yulara,AU,77.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
357,Banda Aceh,ID,78.21,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
361,Oussouye,SN,77.0,clear sky,12.485,-16.5469,Auberge du Routard
363,Baracoa,CU,76.82,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
367,Cidreira,BR,78.12,clear sky,-30.1811,-50.2056,Hotel Castelo
369,Ahuimanu,US,78.8,light rain,21.4447,-157.8378,Paradise Bay Resort
372,Kattivakkam,IN,78.8,mist,13.2167,80.3167,Raj's villa
375,Chiredzi,ZW,75.29,overcast clouds,-21.05,31.6667,The Nesbitt Arms
385,Pouembout,NC,81.75,broken clouds,-21.1333,164.9,Camping de Tipenga
393,Sao Gabriel Da Cachoeira,BR,80.13,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
396,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
404,Lagunas,PE,84.83,light rain,-5.2269,-75.6753,Hospedaje Eco
406,Progreso,MX,79.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
407,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
408,Puerto Leguizamo,CO,81.72,broken clouds,-0.1934,-74.7819,la casona de juancho
411,Santa Rosa,PH,75.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
416,Acarau,BR,80.31,clear sky,-2.8856,-40.12,castelo pizzaria
429,Gweta,BW,79.75,overcast clouds,-20.1833,25.2333,Gweta Lodge
434,Bontang,ID,79.12,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
438,Ternate,ID,80.8,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
448,San Ignacio,BZ,78.8,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
456,Benguela,AO,75.34,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
459,Cabo San Lucas,MX,75.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
473,Sao Jose Da Coroa Grande,BR,79.29,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
