City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mao,ES,39.8885,4.2658,50.0,93,75,17.27,light rain
80,Lorengau,PG,-2.0226,147.2712,81.79,69,100,1.81,overcast clouds
81,Butaritari,KI,3.0707,172.7902,81.7,80,61,16.91,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,68.0,73,90,6.91,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,46.4,87,90,11.5,light rain
84,Nenjiang,CN,49.1833,125.2167,-9.54,85,87,2.44,overcast clouds
85,Kununurra,AU,-15.7667,128.7333,80.6,100,88,2.3,overcast clouds
86,Saint George,US,37.1041,-113.5841,48.99,33,1,3.44,clear sky
87,Mandalgovi,MN,45.7625,106.2708,-2.94,80,0,11.48,clear sky
88,Lima,PE,-12.0432,-77.0282,75.99,68,20,13.8,few clouds
89,Trinidad,BO,-14.8333,-64.9,93.2,59,20,11.5,light rain
90,Manzhouli,CN,49.6,117.4333,-2.67,88,32,14.36,scattered clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,28.24,83,0,5.3,clear sky
92,Guilin,CN,25.2819,110.2864,41.0,42,90,4.47,overcast clouds
93,Marondera,ZW,-18.1853,31.5519,62.02,99,100,3.22,moderate rain
94,Viedma,AR,-40.8135,-62.9967,89.01,15,0,1.99,clear sky
95,Touros,BR,-5.1989,-35.4608,82.4,69,20,13.8,few clouds
96,Ust-Kalmanka,RU,52.1207,83.305,20.41,88,100,18.3,overcast clouds
97,Port Alfred,ZA,-33.5906,26.891,68.0,82,98,1.99,overcast clouds
98,Liwale,TZ,-9.7667,37.9333,68.79,96,100,3.8,overcast clouds
99,Gizo,SB,-8.103,156.8419,84.47,73,98,6.76,moderate rain
100,Kavaratti,IN,10.5669,72.642,82.35,74,100,6.44,overcast clouds
101,Constitucion,CL,-35.3333,-72.4167,63.54,70,3,11.88,clear sky
102,Roma,US,43.2128,-75.4557,27.0,74,90,3.44,overcast clouds
103,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,64.56,25,0,11.01,clear sky
104,Atoyac,MX,20.0167,-103.5333,73.4,21,1,4.61,clear sky
105,Mabaruma,GY,8.2,-59.7833,77.34,90,26,6.13,scattered clouds
106,East London,ZA,-33.0153,27.9116,69.42,84,100,13.98,light rain
107,Mahebourg,MU,-20.4081,57.7,78.8,94,75,6.91,light rain
108,Okhotsk,RU,59.3833,143.3,-14.37,80,19,13.6,few clouds
109,Mogadishu,SO,2.0371,45.3438,76.26,71,66,22.24,broken clouds
110,Ghanzi,BW,-21.5667,21.7833,76.96,59,65,3.22,broken clouds
111,Egvekinot,RU,66.3167,-179.1667,-19.5,85,3,9.86,clear sky
112,Cape Town,ZA,-33.9258,18.4232,66.2,63,0,24.16,clear sky
113,Atherton,GB,53.5237,-2.4935,42.01,90,100,4.0,light rain
114,Moroeni,RO,45.2167,25.4333,32.0,90,100,7.56,light snow
115,Laguna,US,38.421,-121.4238,55.0,79,93,1.99,overcast clouds
116,Kahului,US,20.8947,-156.47,82.4,51,20,16.11,few clouds
117,Mount Isa,AU,-20.7333,139.5,78.8,65,0,5.75,clear sky
118,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,8.05,scattered clouds
119,Rawson,AR,-43.3002,-65.1023,71.65,26,100,21.25,overcast clouds
120,San Benito,US,36.6166,-121.0844,69.01,24,0,5.01,clear sky
121,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,40,20.71,scattered clouds
122,Nikel,RU,69.4128,30.222,5.0,85,0,11.5,clear sky
123,Saskylakh,RU,71.9167,114.0833,-12.95,85,100,16.06,overcast clouds
